Date,Open,High,Low,Close,Adj Close,Volume,
12-Sep-22,79.652,79.723,79.288,79.652,79.652,0,-0.36%
13-Sep-22,79.393,79.632,79.01,79.393,79.393,0,0.29%
14-Sep-22,79.594,79.625,79.369,79.594,79.594,0,-0.18%
15-Sep-22,79.495,79.854,79.433,79.495,79.495,0,0.51%
16-Sep-22,79.86,79.873,79.591,79.86,79.86,0,-0.19%
19-Sep-22,79.716,79.831,79.574,79.716,79.716,0,0.01%
20-Sep-22,79.675,79.784,79.577,79.675,79.675,0,0.07%
21-Sep-22,79.765,80.076,79.75,79.765,79.765,0,0.20%
22-Sep-22,80.233,81.145,80.199,80.233,80.233,0,1.43%
23-Sep-22,81.049,81.285,80.77,81.049,81.049,0,0.25%
26-Sep-22,81.34,81.714,81.323,81.34,81.34,0,0.44%
27-Sep-22,81.374,81.782,81.282,81.374,81.374,0,0.12%
28-Sep-22,81.875,82.02,81.345,81.875,81.875,0,-0.37%
29-Sep-22,81.594,81.967,81.468,81.594,81.594,0,0.07%
30-Sep-22,81.497,81.725,81.151,81.497,81.497,0,0.06%
3-Oct-22,81.532,81.927,81.498,81.532,81.532,0,-0.02%
4-Oct-22,81.495,81.685,81.284,81.495,81.495,0,-0.05%
5-Oct-22,81.46,81.721,81.326,81.46,81.46,0,0.22%
6-Oct-22,81.52,82.316,81.476,81.52,81.52,0,0.53%
7-Oct-22,82.292,82.832,82.106,82.292,82.292,0,0.93%
10-Oct-22,82.706,82.714,82.263,82.706,82.706,0,-0.54%
11-Oct-22,82.421,82.506,82.095,82.421,82.421,0,-0.14%
12-Oct-22,82.267,82.37,82.156,82.267,82.267,0,-0.12%
13-Oct-22,82.19,82.685,82.107,82.19,82.19,0,0.02%
14-Oct-22,82.21,82.448,82.108,82.21,82.21,0,0.20%
17-Oct-22,82.413,82.426,82.089,82.413,82.413,0,-0.21%
18-Oct-22,82.161,82.406,82.005,82.161,82.161,0,0.15%
19-Oct-22,82.298,83.111,82.288,82.298,82.298,0,0.88%
20-Oct-22,82.991,83.268,82.526,82.991,82.991,0,-0.23%
21-Oct-22,82.836,83.104,82.539,82.836,82.836,0,-0.35%
24-Oct-22,82.603,82.884,82.572,82.603,82.603,0,0.26%
25-Oct-22,82.755,82.859,82.413,82.755,82.755,0,-0.28%
26-Oct-22,82.445,82.539,81.961,82.445,82.445,0,-0.74%
27-Oct-22,82.031,82.574,82.017,82.031,82.031,0,0.57%
28-Oct-22,82.364,82.518,82.269,82.364,82.364,0,-0.13%
31-Oct-22,82.386,82.877,82.316,82.386,82.386,0,0.62%
1-Nov-22,82.817,82.826,82.494,82.817,82.817,0,-0.14%
2-Nov-22,82.682,82.818,82.609,82.682,82.682,0,0.08%
3-Nov-22,82.894,82.996,82.693,82.894,82.894,0,0.02%
4-Nov-22,82.69,82.74,81.97,82.69,82.69,0,-0.93%
7-Nov-22,82.075,82.324,81.809,82.075,82.075,0,-0.19%
8-Nov-22,81.832,82.034,81.241,81.832,81.832,0,-0.53%
9-Nov-22,81.34,81.628,81.21,81.34,81.34,0,-0.04%
10-Nov-22,81.444,81.93,80.632,81.444,81.444,0,-0.87%
11-Nov-22,80.565,80.996,80.483,80.565,80.565,0,-0.19%
14-Nov-22,80.525,81.299,80.51,80.525,80.525,0,0.61%
15-Nov-22,80.992,81.449,80.703,80.992,80.992,0,0.12%
16-Nov-22,81.105,81.574,81.105,81.105,81.105,0,0.52%
17-Nov-22,81.453,81.854,81.422,81.453,81.453,0,0.04%
18-Nov-22,81.53,81.8,81.505,81.53,81.53,0,0.13%
21-Nov-22,81.672,81.927,81.579,81.672,81.672,0,0.10%
22-Nov-22,81.728,81.83,81.58,81.728,81.728,0,0.02%
23-Nov-22,81.719,81.934,81.628,81.719,81.719,0,-0.13%
24-Nov-22,81.633,81.777,81.588,81.633,81.633,0,0.01%
25-Nov-22,81.671,81.754,81.432,81.671,81.671,0,0.09%
28-Nov-22,81.814,81.846,81.518,81.814,81.814,0,-0.06%
29-Nov-22,81.549,81.758,81.541,81.549,81.549,0,-0.03%
30-Nov-22,81.645,81.65,81.271,81.645,81.645,0,-0.31%
1-Dec-22,81.151,81.336,80.985,81.151,81.151,0,-0.29%
2-Dec-22,81.165,81.527,81.082,81.165,81.165,0,0.36%
5-Dec-22,81.255,81.91,81.195,81.255,81.255,0,0.59%
6-Dec-22,81.904,82.643,81.897,81.904,81.904,0,0.72%
7-Dec-22,82.422,82.783,82.188,82.422,82.422,0,-0.33%
8-Dec-22,82.267,82.477,82.253,82.267,82.267,0,0.09%
9-Dec-22,82.244,82.509,82.086,82.244,82.244,0,0.16%
12-Dec-22,82.434,82.745,82.423,82.434,82.434,0,0.27%
13-Dec-22,82.662,82.922,82.373,82.662,82.662,0,-0.31%
14-Dec-22,82.61,82.715,82.402,82.61,82.61,0,0.12%
15-Dec-22,82.537,82.993,82.415,82.537,82.537,0,0.45%
16-Dec-22,82.865,82.897,82.626,82.865,82.865,0,-0.17%
19-Dec-22,82.775,82.832,82.565,82.775,82.775,0,-0.07%
20-Dec-22,82.582,82.885,82.564,82.582,82.582,0,-0.06%
21-Dec-22,82.73,82.933,82.654,82.73,82.73,0,0.34%
22-Dec-22,82.825,82.989,82.643,82.825,82.825,0,0.10%
23-Dec-22,82.88,82.902,82.742,82.88,82.88,0,-0.22%
26-Dec-22,82.775,82.847,82.627,82.775,82.775,0,-0.16%
27-Dec-22,82.675,82.909,82.655,82.675,82.675,0,0.22%
28-Dec-22,82.84,82.93,82.747,82.84,82.84,0,-0.11%
29-Dec-22,82.847,82.901,82.754,82.847,82.847,0,0.03%
30-Dec-22,82.787,82.829,82.539,82.787,82.787,0,-0.05%
